ticker_name,ticker_bse,date_of_filing,type_of_filing,summary_filing,sentiment_from_filing,relevance_from_filing,word_length,filing_url
ICICIBANK,532174,2025-03-24,general,"This is further to the disclosure made by ICICI Bank Limited (Bank) on March 11, 2025,                 Ref. : Scheme of Arrangement amongst ICICi Securities Limited, ICIC I Bank Limited and their respective shareholders (“Scheme”) for Delisting of  shares.",36,0,265,https://www.bseindia.com/xml-data/corpfiling/AttachLive/36e6823e-a5b5-44f1-859f-0dc2fcf9557d.pdf
TCS,532540,2025-03-24,general,The Press release is self -explanatory. We are sending herewith copy of the Press Release titled “ 24-year -old Taiwanese  Student                   ‘World’s Best Coder’ at TCS CodeVita 2025 ” which will be disseminated ‘shortly’,63,0,1060,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8669f289-f5a3-4003-bfac-d6c8aac70f32.pdf
LT,500510,2025-03-24,general,"The Trading Window for dealing  in the Company's Securities will re main closed from Tuesday, April 1, 202 5. The c losure is in connection with the declaration of financial results of the Company.",29,0,194,https://www.bseindia.com/xml-data/corpfiling/AttachLive/83596997-34ad-44ee-9d31-653820c90365.pdf
LT,500510,2025-03-24,general,"Larsen & Toubr o Limited is a leading energy company based in Mumbai, India. Larsen and Toubro are working with John Cockerill Energy to explore specific green -power technologies. The company has issued a P ress Release that is being issued by the Company in connection with the above.",31,0,970,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5bf324bf-c8bf-44a9-8091-e0aed954be03.pdf
HINDUNILVR,500696,2025-03-24,general,"Board Meeting to consider Audited Standalone and Consolidated Financial Results for the quarter  and financial year ending 31st March, 202 5 and recommendation of Final Dividend, if any.",0,20,303,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b816b954-ba6b-4163-a5d6-7f6d014613a0.pdf
HCLTECH,532281,2025-03-24,general,"The ‘Trading Window’ for dealing in the equity shares of HCL Technologies Ltd. will remain closed from the start of business on March 25, 2025 and shall re-open on March 24, 2025.",29,0,177,https://www.bseindia.com/xml-data/corpfiling/AttachLive/77d1b50b-ff8f-4873-9941-1cefb58797ab.pdf
HCLTECH,532281,2025-03-24,general,"Board Meeting to consider audited financial results & payment of interim dividend. Board meeting to be held on April 21 & 22, 2025 to consider Audited Financial Results of the Company for the financial year.",0,20,204,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2badff68-f768-4754-ae45-f799002e083f.pdf
HCLTECH,532281,2025-03-24,general,"HCL Technologies Ltd. is a leading technology company based in Mumbai, India. HCL Technologies is a member of the Bombay Stock Exchange (BSE), which is the world's second largest stock exchange. The company has been in business for over 20 years.",0,20,753,https://www.bseindia.com/xml-data/corpfiling/AttachLive/124b462a-2e9b-463c-8a41-533f2e1c027b.pdf
M&M,500520,2025-03-24,general,"The shares have been transferred by the Trust on 24th March, 2025, pursuant to the exercise of the Stock Options granted under the Company’s Employees’ Stock Option Scheme. The same is marked as Annexure I.",75,0,736,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9d83606a-4319-4000-8884-7398945d238e.pdf
M&M,500520,2025-03-24,general,Mahindra & Mahindra Ltd. has come across the following information. The information has been submitted under Regulation 30 (11) of the SEBI (Listing Obligations and Disclosure Requirements) (“Listing Regulations”),0,20,293,https://www.bseindia.com/xml-data/corpfiling/AttachLive/82fe2c20-9a65-45c4-a8bb-483d47b265c8.pdf
