ticker,code,date,summary_gpt,sentiment_gpt,category_gpt,url
AXISBANK,532215,2025-05-03,"Axis Bank received a monetary penalty of Rs. 29.6 lakh from the Reserve Bank of India for contraventions related to banking regulations, specifically Sections 47A(1)(c) and 46(4)(i) of the Banking Regulation Act, 1949. The bank does not anticipate any material impact on its financial or operational activities due to this penalty.",10,Regulatory,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e8f75721-8ea1-4116-af47-5a0026ae4fd0.pdf
AXISBANK,532215,2025-05-02,"The filing reports the successful passing of a postal ballot resolution for the re-appointment of Prof. S. Mahendra Dev as an Independent Director of Axis Bank, with the results confirmed by the scrutinizer. It serves as an official communication to stock exchanges and stakeholders regarding the resolution's approval.",10,Corporate Governance,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6818524d-143e-42da-bdb2-54dae11b36da.pdf
AXISBANK,532215,2025-05-01,"Axis Bank has released the transcript of its earnings call for Q4 and FY2025, discussing its financial performance for the period ending March 31, 2025. The transcript is publicly available on the bank's official website.",10,Earnings,https://www.bseindia.com/xml-data/corpfiling/AttachLive/91f94ab2-8d18-446e-b9d2-54ecc28a80b2.pdf
AXISBANK,532215,2025-04-30,"Axis Bank has allotted 158,894 new equity shares under its ESOP/RSU scheme, increasing its total paid-up share capital. This indicates ongoing employee incentivization and capital structure management.",10,Equity,https://www.bseindia.com/xml-data/corpfiling/AttachLive/49a7bc88-b86b-479c-a7d4-d9f7e8d85bdb.pdf
AXISBANK,532215,2025-04-25,"Axis Bank's board approved the appointment of M/s. Bhandari & Associates as secretarial auditors for five years and scheduled its 31st AGM on July 25, 2025, with a record date of July 4, 2025, for dividend payment. The appointment is subject to member approval, and the firm has extensive experience in corporate secretarial services, including audits for major listed companies.",20,Corporate,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fdcd8494-3276-4c46-bf4a-c294193e7e7c.pdf
AXISBANK,532215,2025-04-25,"Axis Bank's board approved the appointment of M/s. Bhandari & Associates as secretarial auditors for five years and scheduled its 31st AGM on July 25, 2025, with a record date of July 4, 2025, for dividend payment. The appointment is subject to member approval, and the firm has extensive experience in corporate secretarial services across various sectors.",20,Corporate,https://www.bseindia.com/xml-data/corpfiling/AttachLive/534ce220-9534-4bb5-a421-405a09200389.pdf
AXISBANK,532215,2025-04-25,"Axis Bank announced the retirement of Deputy Managing Director Rajiv Anand and appointed three new senior executives, including Sameer Shetty, Bipin Saraf, and Rajkamal Vempati, effective April 1, 2025. The changes reflect leadership succession and strategic strengthening within the bank's management team.",20,Leadership,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9ab12313-7975-4e53-875d-f3fa3fd52740.pdf
AXISBANK,532215,2025-04-25,"Axis Bank has published its audited financial results for the quarter and year ending March 31, 2025, as disclosed in newspapers in compliance with SEBI regulations. The results are now available for investor review and record-keeping.",10,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4d37f9fd-29f0-4330-ad54-b5a1d06a7082.pdf
AXISBANK,532215,2025-04-25,"Axis Bank has approved the grant of approximately 73 million stock options and 22 million stock units to its employees under its respective schemes, with vesting periods and exercise prices specified. This move aligns with regulatory requirements and aims to incentivize employees through stock-based benefits.",20,Incentives,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ae46032c-a6b9-4fff-baae-1120b75b8609.pdf
AXISBANK,532215,2025-04-24,"Axis Bank has conducted an earnings call for its Q4 and full-year 2025 results, with the audio recording made available on its website. The filing is a regulatory disclosure of this event under SEBI regulations.",0,Earnings,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e043eb4e-d2dd-47c8-a0c5-dca4c19c09ff.pdf
AXISBANK,532215,2025-04-24,"Axis Bank reported a 13% quarterly increase in net profit for FY25, driven by growth in CASA and deposits, along with industry-first initiatives like aircraft financing at GIFT City and real-time USD clearing. The bank maintained strong asset quality, capital ratios, and market share in merchant acquiring and UPI payments, while expanding its digital and strategic initiatives.",70,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1df88404-ad70-4dc6-b846-6e0fc3b18209.pdf
AXISBANK,532215,2025-04-24,"Axis Bank's board approved a final dividend of Re. 1 per share and authorized raising up to Rs. 55,000 crore through debt and equity instruments, along with increasing the bank's borrowing limit to Rs. 3,00,000 crore, subject to shareholder and regulatory approvals.",20,Fundraising,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f4681308-21ae-473f-9fea-c94e016b1e95.pdf
AXISBANK,532215,2025-04-24,"Axis Bank's board approved a final dividend of Re. 1 per share and authorized raising up to Rs. 55,000 crore through debt and equity instruments, subject to shareholder approval. The bank also increased its borrowing limit to Rs. 3,00,000 crore, pending regulatory and shareholder consent.",20,Fundraising,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e285bb28-33d0-4ff9-88e7-45afa538b9ba.pdf
AXISBANK,532215,2025-04-24,"Axis Bank reported a 13% quarterly increase in PAT for FY25, driven by growth in CASA and deposits, along with industry-first initiatives like aircraft financing at GIFT City and real-time USD clearing. The bank maintained strong asset quality, capital ratios, and market share in merchant acquiring and UPI payments, with steady growth across retail and corporate segments.",70,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b419c3d1-1979-49e1-933f-f610e9832cff.pdf
AXISBANK,532215,2025-04-24,"Axis Bank announced its audited standalone and consolidated financial results for the fiscal year ending March 31, 2025, with a focus on increased total income and operating profit. The results were approved by the Board with unmodified audit opinions, indicating stable financial health.",20,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d3306552-865d-430e-bedd-6725b9fed458.pdf
