ticker,code,date,summary_gpt,sentiment_gpt,category_gpt,url
HDFCBANK,500180,2025-04-25,"HDFC Bank has allotted 46,824 equity shares to employees under its ESOP scheme, increasing its paid-up share capital slightly. This indicates ongoing employee incentivization and capital structure management.",10,corporate_actions,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a122a0d7-f35d-45fb-adfd-5c4f7a5de42d.pdf
HDFCBANK,500180,2025-04-24,"The filing contains the transcript of HDFC Bank's Q4 FY '25 earnings conference call held on April 19, 2025, where management discussed the bank's financial performance, macroeconomic outlook, and strategic outlook for FY '26. The transcript provides insights into the bank's views on India's economic environment, monetary policy, and growth prospects.",20,earnings_call_transcript,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ff4ae1b4-cf07-4f6d-b097-3bd8139fb570.pdf
HDFCBANK,500180,2025-04-23,"HDFC Bank has allotted 3,323,446 equity shares to employees under its ESOP scheme, resulting in a slight increase in its paid-up share capital. The announcement confirms the share issuance and updates the share capital records.",10,corporate_actions,https://www.bseindia.com/xml-data/corpfiling/AttachLive/0491ad6c-0161-43f5-ac3c-b74eacedab78.pdf
HDFCBANK,500180,2025-04-20,"HDFC Bank has released the audio recording of its earnings call for the quarter and year ended March 31, 2025, which is now available on its official website. The filing primarily serves as a formal communication of the event and does not include specific financial or operational details.",0,earnings_call_transcript,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d8560391-c72b-47a6-b2d1-68c364d3c0ea.pdf
HDFCBANK,500180,2025-04-19,"HDFC Bank Limited has disclosed its half-yearly related party transactions ending March 31, 2025, including various deposits, income, expenses, and bonds with its subsidiaries HDB Financial Services Limited, HDFC Securities Limited, and HDFC Life Insurance Company Limited. The disclosure aligns with regulatory requirements and provides detailed balances and transaction types.",0,disclosure,https://www.bseindia.com/xml-data/corpfiling/AttachHis/aef7002c-e9d5-4087-9196-0b3bbc51dd9e.pdf
HDFCBANK,500180,2025-04-19,HDFC Bank Limited has informed that the SEBI Circular regarding Security Cover Certificates does not apply to them as they have not issued any Secured Non-Convertible Securities. The communication clarifies compliance status with relevant SEBI regulations.,0,regulatory_update,https://www.bseindia.com/xml-data/corpfiling/AttachHis/bee3e307-d621-4e20-9b5e-f6d6eb9138e7.pdf
HDFCBANK,500180,2025-04-19,"HDFC Bank's board approved the issuance of up to Rs. 60,000 crores in various debt instruments over the next year, appointed M/s. Bhandari & Associates as secretarial auditors, and elevated Mr. Prasun Singh to Group Head – Ethics Function. The filings also include profiles of the new auditors and executive appointment.",10,corporate_actions,https://www.bseindia.com/xml-data/corpfiling/AttachLive/625ffaa3-4dd6-4b42-856d-4b785b7fd148.pdf
HDFCBANK,500180,2025-04-19,"HDFC Bank has updated and approved its amended Code of Practices and Procedures for Fair Disclosure of Unpublished Price Sensitive Information, which is now available on its website. The bank has formally communicated this update to the stock exchanges as part of regulatory compliance.",0,regulatory_update,https://www.bseindia.com/xml-data/corpfiling/AttachHis/54e078eb-e2de-417d-b0dc-27dccbd12394.pdf
HDFCBANK,500180,2025-04-19,"HDFC Bank announced the upcoming release of its audited financial results for Q4 FY25, with a presentation available on its investor relations website, and hosted an earnings call on April 19, 2025. The filing primarily informs stakeholders about the results and the presentation link.",10,earnings_call_transcript,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e19ba89d-02a3-48aa-be3d-7ab0b6d200e4.pdf
HDFCBANK,500180,2025-04-19,"HDFC Bank announced its financial results for FY 2024-25 with an unmodified audit opinion and proposed a substantial dividend of Rs. 22 per share, pending shareholder approval. The results and dividend details were approved by the Board during the meeting held on April 19, 2025.",70,earnings_call_transcript,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a9f51385-d740-4e46-8af2-71441bd48db9.pdf
HDFCBANK,500180,2025-04-19,"HDFC Bank announced its financial results for FY 2024-25 with an unmodified audit opinion and recommended a substantial dividend of Rs. 22 per share, pending shareholder approval. The results and dividend details were approved by the Board during the meeting held on April 19, 2025.",70,earnings_call_transcript,https://www.bseindia.com/xml-data/corpfiling/AttachHis/9806acd7-cd09-4d62-aae5-f73f554715aa.pdf
HDFCBANK,500180,2025-04-19,"HDFC Bank reported its financial results for the fiscal year ending March 31, 2025, with an audited standalone and consolidated performance showing stable income and profit metrics, and has recommended a substantial dividend of Rs. 22 per share, subject to shareholder approval. The results reflect consistent operational performance with no significant deviations from previous periods.",20,earnings_call_transcript,https://www.bseindia.com/xml-data/corpfiling/AttachLive/77dd1f75-6b85-4aac-8334-7d7c7b7eb410.pdf
