ticker,code,date,summary_gpt,sentiment_gpt,category_gpt,url
HINDUNILVR,500696,2025-04-30,"Hindustan Unilever's earnings call transcript indicates a subdued demand environment in FY 2025, with rural demand gradually improving and urban demand moderating. The company provided an overview of its performance, highlighting challenges in the FMCG market and its outlook for the near term.",20,Earnings,https://www.bseindia.com/xml-data/corpfiling/AttachLive/57aad284-8283-4c21-8035-99627387a92d.pdf
HINDUNILVR,500696,2025-04-25,"Hindustan Unilever Limited announced the availability of the audio/video recording of its earnings call for the quarter and year ended March 31, 2025, which is accessible on their website. The filing primarily provides information about the earnings call and does not include financial results or strategic updates.",0,Investor,https://www.bseindia.com/xml-data/corpfiling/AttachLive/74c0c361-ca90-4930-82f1-c87395df0e36.pdf
HINDUNILVR,500696,2025-04-24,"Hindustan Unilever announced its 92nd Annual General Meeting scheduled for June 30, 2025, with the register of members to be closed from June 24 to June 30 for dividend payments and AGM purposes.",0,Corporate,https://www.bseindia.com/xml-data/corpfiling/AttachLive/88846b38-e05c-4c10-9a2c-60a5dbb8e950.pdf
HINDUNILVR,500696,2025-04-24,"Hindustan Unilever announced its 92nd AGM scheduled for June 30, 2025, with the register of members closed from June 24 to June 30 for dividend payments. The company’s board meeting was held to approve this schedule and related formalities.",10,Corporate,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b467b11e-efbe-453f-8554-921c038af2c3.pdf
HINDUNILVR,500696,2025-04-24,"Hindustan Unilever announced its 92nd AGM scheduled for June 30, 2025, with the register of members closed from June 24 to June 30 for dividend payments. The company’s board meeting was held to approve this schedule and related formalities.",10,Corporate,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a94b777-c7ee-4174-acec-8255c742bfea.pdf
HINDUNILVR,500696,2025-04-24,"Hindustan Unilever Limited announced the appointment of M/s. Parikh & Associates as its Secretarial Auditors for a five-year term starting FY 2025-26, pending shareholder approval. The firm specializes in corporate laws, SEBI regulations, and compliance audits, with a peer-reviewed status and a team of 35 professionals.",10,Corporate Governance,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2a59c339-faf5-4fe2-a424-bcf75c72cf2b.pdf
HINDUNILVR,500696,2025-04-24,"Hindustan Unilever Limited has announced its audited financial results for the quarter and fiscal year ending March 31, 2025, along with an investor presentation and upcoming press release. The filing provides a detailed outlook on market conditions, commodity prices, and growth trends affecting the company's performance.",10,Results,https://www.bseindia.com/xml-data/corpfiling/AttachLive/935a2031-ae72-4611-92f3-227ee7a569c6.pdf
HINDUNILVR,500696,2025-04-24,"Hindustan Unilever reported a slight increase in revenue to Rs. 60,680 crores and a rise in net profit to Rs. 10,644 crores for FY 2024-25, along with a final dividend of Rs. 24 per share. The company’s financial results were approved with an unmodified auditor’s opinion, indicating stable performance.",30,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/62dccb2d-82b9-4daa-9e3d-c028be9ed7ab.pdf
HINDUNILVR,500696,2025-04-24,"Hindustan Unilever reported a slight increase in revenue to Rs. 60,680 crores and a rise in net profit to Rs. 10,644 crores for FY 2024-25, along with a final dividend of Rs. 24 per share. The company’s audited financial results received an unmodified opinion from auditors, indicating stable financial health.",70,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2b029c02-bd5d-426d-b0db-e8a96305382c.pdf
HINDUNILVR,500696,2025-04-24,"Hindustan Unilever reported a slight increase in revenue to Rs. 60,680 crores and a rise in net profit to Rs. 10,644 crores for FY 2024-25, along with a final dividend of Rs. 24 per share. The company’s financial results were approved with an unmodified auditor’s opinion, indicating stable performance.",30,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/175fb771-ed17-454d-a873-b9976a5cfa16.pdf
