ticker,code,date,sum_bart,sum_peg,sum_t5,vader,finbert,finbert_s,distil,distil_s,url
ANGELONE,543235,2025-04-17,"Angel One Limited is a public company based in Mumbai, India. The company is a member of the National Stock Exchange of India (NSE) and the Bombay Stock Exchange (BSE)","Dear Sir and Madam,ursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform you that Angel One Limited will be hosting an earnings call with analysts and investors to be hosted by the Company on April 17, 2025.",,-22,Neutral,1.0,POSITIVE,0.989,https://www.bseindia.com/xml-data/corpfiling/AttachLive/65851d17-1a93-402d-bc80-ded6a2401a05.pdf
ANGELONE,543235,2025-04-17,"In accordance with the provisions of the Regulation 30 of the Securities and Exchange Boa. Angel One Limited is a public limited company. The company is based in Mumbai, India.","The Register of Members and Share Transfer Books of Angel One Limited will remain closed for the purpose of Payment of Dividend for the financial year ending 31st March, 2018 from 16th April, 2018 to 14th May, 2018 (both days inclusive)","Exchange Board of India ( Listing Obligations and Disclosure Requirements) Regulations, 2015 (the “ Listing Regulations ”), we hereby inform you that the Nomination and Remuneration Committee of Angel One Limited has approved grants of 577,963 Restrictive Stock Units to 351 (Three Hundred Fifty One) eligible employee s of the Company , convertible into equal number of Equity Shares of the Company of face value of Rs.10 each , under the Angel Broking Employee Long Term Incentive Plan 2021 (“ LTI Plan 2021 ”). S",-15,Neutral,1.0,POSITIVE,0.983,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7d48e68b-bec5-4251-93fb-9dce78d108e7.pdf
ANGELONE,543235,2025-04-17,"Angel One Limited is a public company based in Mumbai, India. It is a member of the National Stock Exchange of India (NSE) and the Bombay Stock Exchange (BSE) The company's stock code is 543235.","Pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we would like to inform you that the Board of Directors of the Company at its meeting held on 16 April, 2018, has approved the Audited Financial Results of the Company for the quarter and financial year ended 31 March, 2025 along with the Auditor's Report.","Subject: Outcome of Board Meeting held today i.e. April 16, 2025 under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements), Regulations, 2015",-22,Neutral,1.0,POSITIVE,0.942,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a41133eb-6b71-49db-a392-ba2e4e452fff.pdf
ANGELONE,543235,2025-04-17,"11.00 Vo Xþ.1.30  ‘m doioV Am°ZbmBZ B©-{bbmdmûmao, Am_À`m {d{dY emIm§_wio, Imbr dU©Z Ho$ë’mà_mUo Xo’ a¸$_ dgyb                H$aÊ’mgmR>r Ogo Amho OoWo Amho. 02.05.00 dmOon’ªV  godm àXmË�","AmU deo fV H$OXma AmU Om_ZXmam Zm gyMZm XomV oV Amho H$s Imbr dU Z Ho$bom OJ_ _mb_mm V yV H$OXmamH$So> VmaU R>odm AmhoV, mMm Vm$Zam Ho$m mYH$V AYH$m",mao gmXa H mao gmXa H mao gmXa H mao gmXa H mao gmXa H mao gmXa H mao gmXa H mao gmXa H mao gmXa H mao gmXa H mao gmXa H mao gm,0,Neutral,1.0,NEGATIVE,0.996,https://www.bseindia.com/xml-data/corpfiling/AttachLive/cd515d25-8938-4526-abd2-764cc0920c57.pdf
ANGELONE,543235,2025-04-16,"Angel One Limited is a public company based in Mumbai, India. It is a member of the National Stock Exchange of India (NSE) and the Bombay Stock Exchange (BSE) The company's stock code is 543235.","Pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we would like to inform you that the Board of Directors of the Company at its meeting held on 16 April, 2018, has approved the Audited Financial Results of the Company for the quarter and financial year ended 31 March, 2025 along with the Auditor's Report.","Subject: Outcome of Board Meeting held today i.e. April 16, 2025 under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements), Regulations, 2015",-22,Neutral,1.0,POSITIVE,0.942,https://www.bseindia.com/xml-data/corpfiling/AttachLive/0f9d0457-4475-424b-ae20-8d5c4d41fff8.pdf
ANGELONE,543235,2025-04-16,"Angel One Limited is a public company based in Mumbai, India. It is a member of the National Stock Exchange of India (NSE) and the Bombay Stock Exchange (BSE) The company's stock code is 543235.","Pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we would like to inform you that the Board of Directors of the Company at its meeting held on 16 April, 2018, has approved the Audited Financial Results of the Company for the quarter and financial year ended 31 March, 2025 along with the Auditor's Report.","Subject: Outcome of Board Meeting held today i.e. April 16, 2025 under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements), Regulations, 2015",-22,Neutral,1.0,POSITIVE,0.942,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4b4e79b9-d1a7-4c3a-9b17-2fea97365262.pdf
ANGELONE,543235,2025-04-16,"Angel One Limited is a public company based in Mumbai, India. It is a member of the National Stock Exchange of India (NSE) and the Bombay Stock Exchange (BSE) The company's stock code is 543235.","Pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we would like to inform you that the Board of Directors of the Company at its meeting held on 16 April, 2018, has approved the Audited Financial Results of the Company for the quarter and financial year ended 31 March, 2025 along with the Auditor's Report.","Subject: Outcome of Board Meeting held today i.e. April 16, 2025 under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements), Regulations, 2015",-22,Neutral,1.0,POSITIVE,0.942,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b71b277b-e4f5-4e21-bfe1-1603e15215a5.pdf
ANGELONE,543235,2025-04-16,"This is for your information and records. Please find enclosed Press Release dated April 16, 2025, for the captioned subject. Angel One Limited is a public limited company.","Here is the full text of Angel One Limited’s audited financial results for the year ended 31st March 2025, which have been filed with the Bombay Stock Exchange (BSE).","Mumbai, 16th April, 2025: Angel One Limited (BSE: 543235) announced its audited consolidated financial results for the quarter & full year ended 31st March 2025.Total Income ( mn)EBDAT ( mn)PAT ( mn)2,8151,746Q3 ’25Q4 ’25-38.0% Q4 ’25% Change QoQ% Change YoYClient Acquisition MetricsTotal Client Base31.0 Mn5.1%39.5%Gross Client Acquisition",-12,Neutral,1.0,NEGATIVE,0.969,https://www.bseindia.com/xml-data/corpfiling/AttachLive/03fa6765-4959-46b4-9fca-4e6c1f18ac63.pdf
ANGELONE,543235,2025-04-16,"The Presentation will be uploaded on the Company's website at www.angelone.in. Please find attached Investor presentation. The Presentation has been prepared by Angel One Limited, a public limited company based in Mumbai.","The following is the text of the investor presentation of Angel One Limited for the fourth quarter and full year of the financial year ending March 31, 2025:","Angel One Limited (the “Company”) has made an Investor Presentation for the quarter ended March 31, 2019 for the period of April 16, 2019 to March 31, 2020. The presentation is based on the information and data which the Company considers reliable, but the Company makes no representation or warranty with respect to the same.",10,Neutral,1.0,NEGATIVE,0.878,https://www.bseindia.com/xml-data/corpfiling/AttachLive/dff3a38f-9740-48bb-9b2d-202e05e76e54.pdf
ANGELONE,543235,2025-04-16,"Angel One Limited is a public company based in Mumbai, India. It is a member of the National Stock Exchange of India (NSE) and the Bombay Stock Exchange (BSE) The company's stock code is 543235.","Pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we would like to inform you that the Board of Directors of the Company at its meeting held on 16 April, 2018, has approved the Audited Financial Results of the Company for the quarter and financial year ended 31 March, 2025 along with the Auditor's Report.","Subject: Outcome of Board Meeting held today i.e. April 16, 2025 under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements), Regulations, 2015",-22,Neutral,1.0,POSITIVE,0.942,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5a5def4a-74a2-42da-b087-b46a67e31209.pdf
ANGELONE,543235,2025-04-12,"Angel One Limited  CIN: L67120MH1996PLC101709,                  SEBI Registration No Stock Broker:INZ000161534.                              CDSL: IN -DP-384 - 2018, PMS:INP000001546.                      Research Analyst:  INH000000164, Investment Advisor:  InA000008172,                  AMFI Regn. No. ARN –77404, PFRDA, Regn No. -19092018.","Dear Sir and Madam, we would like to inform you that Angel One Ltd has filed its annual report for the year ended March 31, 2018 with the Securities and Exchange Board of India.","Revised Monthly, Quarterly and Annual Update: Particulars Mar '25 Feb '",-47,Neutral,1.0,NEGATIVE,0.983,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ae5c9cae-a01d-447b-93d1-8f2ba711be9e.pdf
ANGELONE,543235,2025-04-10,"Angel One Limited is a public company based in Mumbai, India. The company is a member of the National Stock Exchange of India and the Bombay Stock Exchange. It has been registered as a No Stock Broker with the SEBI.","We wish to inform you that a meeting of the Board of Directors of Angel One Limited will be held on 1 April, 2018 to consider and approve the recommendation of final dividend, if any, to the shareholders for the financial year 20 24-25.","SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 - Recommendation of final dividend for financial year 20 24-25",-47,Neutral,0.999,NEGATIVE,0.885,https://www.bseindia.com/xml-data/corpfiling/AttachLive/90351281-bf95-4386-88de-797c5e9fe381.pdf
