ticker,code,date,sum_bart,sum_peg,sum_t5,vader,finbert,finbert_s,distil,distil_s,url
HDFCBANK,500180,2025-04-19,"HDFC Bank Limited, HDFC Bank House, Senapati Bapat Marg, Lower Parel (West), Mumbai – 400 013. Ref. No. SE/202 5-26/15. Scrip code: 500180.","This is to inform you that a meeting of the Board of Directors of HDFC Bank Limited will be held on Friday, 25th April, 2025, inter alia, to consider and approve the following:","HDFC Bank Limited, HDFC Bank House, Senapati Bapat Marg, Lower Parel (West), Mumbai – 400 013 Ref. No. SE/202 5-26/15 April 19, 2025 BSE Limited National Stock Exchange of India Limited Dept of Corporate Services The Listing Department Phiroze Jeejeebhoy Towers, Exchange Plaza Dalal Street, Fort, Bandra Kurla Complex, Mumbai 400 001 Mumbai 400 051 Scrip code: 500180 Scrip code: HDFCBANK",-47,Neutral,1.0,NEGATIVE,0.987,https://www.bseindia.com/xml-data/corpfiling/AttachLive/aef7002c-e9d5-4087-9196-0b3bbc51dd9e.pdf
HDFCBANK,500180,2025-04-19,"HDFC Bank has not issued any Secured Non-Convertible Securities. Non-applicability of SEBI Circular dated May 19, 2022 is not applicable to the Bank.","Dear Sir and Madam, we wish to inform you that, HDFC Bank has not issued any Secured Non-Convertible Securities, disclosure under Circular No.67/HO/MIRSD/MIRSD_CRADT/CIR/P/2022/67 with respect to Security Cover Certificate.","SEBI Circular No. SEBI/HO/MIRSD/MIRSD_CRADT/CIR/P/2022/67 dated May 19, 2022 read with Regulation 54(2) and 54(3) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 with respect to Security Cover Certificate",-1,Neutral,1.0,NEGATIVE,0.999,https://www.bseindia.com/xml-data/corpfiling/AttachLive/bee3e307-d621-4e20-9b5e-f6d6eb9138e7.pdf
HDFCBANK,500180,2025-04-19,"The letter was sent to the National Stock Exchange of India (BSE) on March 18, 2025. The Bank's Board of Directors has approved the renewal of issuance of Perpetual Debt Instruments.","Dear Sir/Madam, we wish to inform you that the Board of Directors of HDFC Bank Limited, at its meeting held on 19 April, 2025, has approved the following:","Outcome of the Board meeting of HDFC Bank Limited held on April 19, 2025 Pursuant to the applicable provisions of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 and our letter dated March 18, 2025 , we wish to inform you that the Board of Directors of the Bank, at its meeting held today, has approved the following:",7,Neutral,1.0,POSITIVE,0.972,https://www.bseindia.com/xml-data/corpfiling/AttachLive/625ffaa3-4dd6-4b42-856d-4b785b7fd148.pdf
HDFCBANK,500180,2025-04-19,"A copy of the amended Code of Practices and Procedures for Fair Disclosure of Unpublished Price Sensitive Information, as approved by the Board of Directors at its meeting held on April 19, 2025 is available on the website of the Bank.","Dear Sir/Madam,ursuant to Regulation 8(2) of the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 2015 we wish to inform you that the Bank has amended its Code of Practices and Procedures for Fair Disclosure of Unpublished Price Sensitive Information.","Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 2015 (“SEBI PIT Regulations”) dated April 19, 2025",62,Neutral,1.0,NEGATIVE,0.965,https://www.bseindia.com/xml-data/corpfiling/AttachLive/54e078eb-e2de-417d-b0dc-27dccbd12394.pdf
HDFCBANK,500180,2025-04-19,"HDFC Bank will host an earnings call with analysts and investors on April 19, 2025 at 18:00 hours (IST) The presentation to be made at the said earnings call has been made available on the website of the Bank.","Dear Sir and Madam, we wish to inform you that the presentation to be made at the said earnings call has been made available on the website of the Bank at the link: https://www.hdfcbank.com/content/bbp/repositories","Dear Sir/ Madam, In reply to your letter dated April 15, 2025 informing you about the earnings call with analysts and investors to be hosted by the Bank on April 19, 2025 at 18:00 hours (IST), regarding the announcement of audited standalone and consolidated financial results of the Bank for the quarter and year ended March 31, 2025. In this connection, we wish to inform you that the presentation to be made at the said earnings call has been made available on the website of the Bank at the following link:",0,Neutral,1.0,NEGATIVE,0.975,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e19ba89d-02a3-48aa-be3d-7ab0b6d200e4.pdf
HDFCBANK,500180,2025-04-19,"HDFC Bank Limited, HDFC Bank House, Senapati Bapat Marg, Lower Parel (West), Mumbai – 400 013. Financial results including audited standalone and consolidated financial results of the Bank for the quarter and year ended March 31, 2025.","Dear Sir/Madam,ursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, read with the following:","Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, read with various circulars issued by the Securities and Exchange Board of India and Stock Exchanges and our letter dated March 18, 2025, we enclose herewith i. Financial results including the audited standalone and consolidated financial results of the Bank for the quarter and year ended March 31, 2025 (“Results”) ii. Audit Reports issued by the Joint Statutory Auditors of the Bank iii. Press Release on the said Results The Joint Statutory Auditors of",-47,Neutral,1.0,POSITIVE,0.707,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a9f51385-d740-4e46-8af2-71441bd48db9.pdf
HDFCBANK,500180,2025-04-19,"HDFC Bank Limited, HDFC Bank House, Senapati Bapat Marg, Lower Parel (West), Mumbai – 400 013. Financial results including audited standalone and consolidated financial results of the Bank for the quarter and year ended March 31, 2025.","Dear Sir/Madam,ursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, read with the following:","Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, read with various circulars issued by the Securities and Exchange Board of India and Stock Exchanges and our letter dated March 18, 2025, we enclose herewith i. Financial results including the audited standalone and consolidated financial results of the Bank for the quarter and year ended March 31, 2025 (“Results”) ii. Audit Reports issued by the Joint Statutory Auditors of the Bank iii. Press Release on the said Results The Joint Statutory Auditors of",-47,Neutral,1.0,POSITIVE,0.707,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9806acd7-cd09-4d62-aae5-f73f554715aa.pdf
HDFCBANK,500180,2025-04-19,"HDFC Bank Limited, HDFC Bank House, Senapati Bapat Marg, Lower Parel (West), Mumbai – 400 013. Financial results including audited standalone and consolidated financial results of the Bank for the quarter and year ended March 31, 2025.","Dear Sir and Madam, we would like to inform you that the Board of Directors of the Bank at its meeting held on 19 April, 2025 has approved the audited standalone and consolidated financial results for the quarter and year ended March 31, 2025 with an unmodified audit.","Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, read with various circulars issued by the Securities and Exchange Board of India and Stock Exchanges and our letter dated March 18, 2025, we enclose herewith i. Financial results including the audited standalone and consolidated financial results of the Bank for the quarter and year ended March 31, 2025 (“Results”) ii. Audit Reports issued by the Joint Statutory Auditors of the Bank iii. Press Release on the said Results The Joint Statutory Auditors of",-47,Neutral,1.0,POSITIVE,0.707,https://www.bseindia.com/xml-data/corpfiling/AttachLive/77dd1f75-6b85-4aac-8334-7d7c7b7eb410.pdf
HDFCBANK,500180,2025-04-16,"We attach herewith the certificate under Regulation 7 4(5) of SEBI (Depository and Participants)  Regulations, 2018, for the quarter ended March  31, 2025. The certificate was received from Datamatics Business Solutions  Limited, Registrar and Transfer Agents of the Bank. This is for your information and records.","We the management of HDFC Bank Limited wish to inform you that the Board of Directors of the Bank at its meeting held on Tuesday, 5 April, 2025, has approved the audited financial results of the Bank for the quarter ended March 31, 2018.","Certificate under Regulation 74(5) of SEBI (Depositions and Participants) Regulations, 2018 for the quarter ended March 31, 2025",-5,Neutral,1.0,NEGATIVE,0.977,https://www.bseindia.com/xml-data/corpfiling/AttachLive/eafba16a-3231-4647-b091-04f255e791d6.pdf
HDFCBANK,500180,2025-04-15,"HDFC Bank will host an earnings call with analysts and investors at 1 8:00 hours (IST) on April 19, 2025. The senior management of the Bank willdiscuss the financia.","Dear Sir / Madam, Sub: Earnings call for th e audited financial results for the quarter/ year ended March 31, 2025 In continuation of our intimation dated March 18, 2025 regarding the announcement of audited standalone financial results of the Bank for the quarter /year ended March 31, 202 5 Dear Sir / Madam, Sub: Earnings call for th e audited financial results for the quarter/ year ended March 31, 2025 In continuation of our intimation dated March 18, 2025 regarding the announcement of audited standalone financial results of the Bank for the quarter /year ended March 31, 202 5 Dear Sir / Madam, Sub: Earnings call for th e audited","HDFC Bank Limited, HDFC Bank House, Senapati Bapat Marg, Lower Parel (West), Mumbai – 400 013 Ref. No. SE/202 5-26/7 April 15, 202 5 BSE Limited National Stock Exchange of India Limited Dept of Corporate Services The Listing Department Phiroze Jeejeebhoy Towers, Exchange Plaza Dalal Street, Fort, Bandra Kurla Complex, Mumbai 400 001 Mumbai 400 051 Scrip Code: 500180 Scrip Symbol: HDFCBANK",0,Neutral,1.0,NEGATIVE,0.811,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4146000e-5d7a-46bf-84ef-79dca839fe31.pdf
